time[s],LF_EXT-LF_FLX,LH_EXT-LH_FLX,RF_EXT-RF_FLX,RH_EXT-RH_FLX
0.001,0.0165691,0,0,0
0.002,0.0329738,0,-0.0201809,0
0.003,0.0492069,0,-0.0564112,0
0.004,0.0652696,0,-0.0922517,0
0.005,0.0811626,0,-0.127705,0
0.006,0.0968868,0,-0.162772,0
0.007,0.112443,0,-0.197456,0
0.008,0.127833,0,-0.231759,0
0.009,0.143056,0,-0.265682,0
0.01,0.158114,0,-0.299229,0
0.011,0.173009,-0.0317306,-0.3324,0
0.012,0.187739,-0.0452534,-0.365199,0
0.013,0.202308,-0.0284675,-0.397627,0
0.014,0.216278,-0.0118937,-0.429686,0
0.015,0.229063,0.00446907,-0.461379,0
0.016,0.240703,0.0206307,-0.492707,0
0.017,0.251235,0.036613,-0.523673,0
0.018,0.260698,0.0524368,-0.554279,0
0.019,0.269127,0.0681227,-0.584527,0
0.02,0.276557,0.0836905,-0.614419,0
0.021,0.28302,0.0991593,-0.643957,0
0.022,0.288549,0.114548,-0.673143,0
0.023,0.293175,0.129874,-0.701979,0
0.024,0.296926,0.145156,-0.730468,0
0.025,0.299832,0.16041,-0.758612,0
0.026,0.301921,0.175653,-0.786411,0
0.027,0.303217,0.190901,-0.81387,0
0.028,0.303748,0.20617,-0.84099,0
0.029,0.303537,0.221474,-0.867772,0
0.03,0.302608,0.23683,-0.894219,0
0.031,0.300983,0.252251,-0.920333,0
0.032,0.298685,0.267751,-0.946117,0
0.033,0.295733,0.283344,-0.971571,0
0.034,0.292148,0.299043,-0.996699,0
0.035,0.28795,0.314861,-1.0215,0
0.036,0.283157,0.33081,-1.04598,0
0.037,0.277786,0.346904,-1.05788,0
0.038,0.271855,0.363154,-1.0693,0
0.039,0.26538,0.379572,-1.08037,0
0.04,0.258376,0.384014,-1.09113,0
0.041,0.250859,0.388235,-1.10156,0
0.042,0.243087,0.392396,-1.11168,0
0.043,0.235075,0.396513,-1.1215,0
0.044,0.226835,0.400597,-1.13101,0
0.045,0.218378,0.404658,-1.14023,0
0.046,0.209716,0.408705,-1.14917,0
0.047,0.200859,0.412746,-1.15783,0
